Easting,Northing,Elevation,Name
323407.265,1833747.812,3.576,RG_PT_755
292870.174,1988972.352,5.18,RG-PT 501
292041.08,1988256.939,4.7,RG-PT 502
292415.778,1988739.703,6.239,RG-PT 503
291555.473,1987814.596,4.408,RG-PT 504
291608.15,1987358.531,6.007,RG-PT 505
292073.543,1986681.377,3.317,RG-PT 506
292143.207,1985920.21,62.33,RG-PT 507
292236.151,1985143.973,167.696,RG-PT 508
293098.055,1984405.184,88.138,RG-PT 509
293671.181,1983849.192,43.227,RG-PT 510
297729.928,1973538.214,23.262,RG-PT 521
302638.645,1949922.781,93.793,RG-PT 551
302856.839,1948724.058,80.197,RG-PT 552
303086.274,1948024.728,78.894,RG-PT 553
305798.96,1945486.184,2.727,RG-PT 558
307970.622,1930691.69,104.472,RG-PT 580
309041.45,1928876.571,3.771,RG-PT 583
308437.261,1927575.797,86.475,RG-PT 585
307968.709,1926591.484,85.635,RG-PT 586
307991.559,1925348.172,100.855,RG-PT 587
307181.644,1925368.304,97.179,RG-PT 588
306738.155,1924752.074,19.326,RG-PT 589
305977.169,1925227.113,24.921,RG-PT 590
305427.606,1925343.336,19.702,RG-PT 591
306933.56,1923906.102,68.721,RG-PT 593
311134.581,1911495.35,79.362,RG-PT 613
310870.531,1912488.964,65.319,RG-PT 614
310811.666,1913379.754,57.072,RG-PT 615
308067.153,1914065.82,31.84,RG-PT 619
309808.851,1911735.28,5.413,RG-PT 620
310482.565,1911034.854,43.395,RG-PT 623
312701.114,1907760.972,91.52,RG-PT 629
312814.176,1902477.258,3.878,RG-PT 635
312362.533,1902157.893,63.205,RG-PT 636
312800.641,1902123.436,60.411,RG-PT 637
315905.796,1896331.806,28.545,RG-PT 644
315852.247,1895390.948,33.262,RG-PT 645
316256.719,1894410.417,4.84,RG-PT 646
316645.217,1893387.623,72.621,RG-PT 647
316699.281,1892955.146,11.937,RG-PT 648
317662.916,1892280.686,6.479,RG-PT 649
317765.537,1891090.414,8.243,RG-PT 650
317873.293,1890215.746,10.118,RG-PT 651
317462.471,1889171.052,22.09,RG-PT 652
318109.649,1888836.985,4.831,RG-PT 653
318359.849,1887901.164,3.012,RG-PT 654
316509.626,1884270.395,11.587,RG-PT 658
315975.16,1884482.133,37.727,RG-PT 659
315715.584,1885250.997,5.04,RG-PT 660
314845.842,1885697.555,5.803,RG-PT 661
318805.83,1868144.684,3.881,RG-PT 693
318193.328,1866683.851,40.88,RG-PT 696
318071.985,1866145.379,3.791,RG-PT 697
318539.116,1865091.652,1.184,RG-PT 698
317881.864,1864729.134,4.966,RG-PT 699
318016.979,1864467.855,5.873,RG-PT 700
318265.094,1863065.969,61.144,RG-PT 702
319160.474,1862438.217,69.359,RG-PT 703
319500.096,1861473.748,81.493,RG-PT 704
319947.235,1859188.426,13.986,RG-PT 707
320530.272,1859004.419,3.887,RG-PT 708
320846.212,1858761.981,3.335,RG-PT 709
320748.912,1858380.041,3.962,RG-PT 710
320525.137,1857362.753,13.716,RG-PT 711
320633.537,1856217.818,99.42,RG-PT 712
319675.039,1854742.549,72.886,RG-PT 714
319669.503,1853874.275,70.983,RG-PT 715
319654.034,1852859.157,64.157,RG-PT 716
319627.084,1852329.722,23,RG-PT 717
319586.294,1850431.429,74.068,RG-PT 719
319992.571,1849902.99,48.561,RG-PT 720
302296.337,1951085.875,85.854,RG-PT549
302291.454,1950793.673,87.124,RG-PT550
302093.575,1959753.405,0.801,WATER Level
300850.477,1963978.854,1.38,WATER LEVEL
304490.182,1945993.017,1.823,WATER LEVEL
293801.315,1981823.877,0.997,WATER LEVEL
297414.867,1974034.432,0.403,WATER LEVEL
